IID	g1	g2	g3
BFV068-01-A_BFV068-01-A	543	2483	0
BKX008-01-A_BKX008-01-A	136	1258	2021
BLB924-01-A_BLB924-01-A	277	382	398
BMR330-01-A_BMR330-01-A	18	1626	0
BYJ529-01-A_BYJ529-01-A	7218	2145	1185
CCY708-01-A_CCY708-01-A	93	252	1348
CHQ176-01-A_CHQ176-01-A	2136	4183	0
CLC466-01-A_CLC466-01-A	4175	4202	10
CMB242-01-A_CMB242-01-A	0	3109	0
CMN642-01-A_CMN642-01-A	4149	13	0
CQV074-01-A_CQV074-01-A	8570	775	140
CVS623-01-A_CVS623-01-A	2719	1943	50
CXV763-01-A_CXV763-01-A	226	164	0
CZY979-01-A_CZY979-01-A	1	0	0
DKR276-01-A_DKR276-01-A	3789	674	728
DKY839-01-A_DKY839-01-A	1085	3443	0
DLB658-01-A_DLB658-01-A	3404	1670	194
DPS889-01-A_DPS889-01-A	111	90	54
DPY215-01-A_DPY215-01-A	2411	1069	739
DTJ082-01-A_DTJ082-01-A	4706	613	502
FDT437-01-A_FDT437-01-A	14	28	0
FFV529-01-A_FFV529-01-A	9476	22	0
GCW695-01-A_GCW695-01-A	8059	2845	284
GDC105-01-A_GDC105-01-A	5678	585	0
GHK467-01-A_GHK467-01-A	13	0	426
GLN516-01-A_GLN516-01-A	1662	89	0
HGD105-01-A_HGD105-01-A	1208	0	0
HKW390-01-A_HKW390-01-A	3204	1400	0
JBY966-01-A_JBY966-01-A	3340	301	183
JDR646-01-A_JDR646-01-A	26	2745	0
JGG758-01-A_JGG758-01-A	2576	1325	301
JRK807-01-A_JRK807-01-A	1593	2876	601
JVM187-01-A_JVM187-01-A	3962	1776	790
JVT235-01-A_JVT235-01-A	96	2088	806
JWX817-01-A_JWX817-01-A	827	300	27
KCS362-01-A_KCS362-01-A	2893	855	1653
KFC204-02-A_KFC204-02-A	16	12	1567
KGS148-01-A_KGS148-01-A	11	21	0
KMS973-01-A_KMS973-01-A	5848	1756	0
KPH963-01-A_KPH963-01-A	1651	515	880
KQX123-01-A_KQX123-01-A	2764	3747	2022
LHM621-01-A_LHM621-01-A	27	19	0
LTF403-01-A_LTF403-01-A	770	431	107
MTS914-01-A_MTS914-01-A	647	4388	0
MWX328-01-A_MWX328-01-A	822	1116	1511
MYH241-01-A_MYH241-01-A	3654	0	0
MZG246-01-A_MZG246-01-A	0	2202	846
NDB894-01-A_NDB894-01-A	1301	1054	23
NDD999-01-A_NDD999-01-A	2796	1566	0
NDQ288-01-A_NDQ288-01-A	0	1174	0
NDT895-01-A_NDT895-01-A	234	277	0
NKR062-01-A_NKR062-01-A	1408	217	260
NNN707-01-A_NNN707-01-A	19	3531	0
NTY571-01-A_NTY571-01-A	1399	1269	184
NVB610-01-A_NVB610-01-A	1143	598	705
NVP680-01-A_NVP680-01-A	24	0	0
PBY010-01-A_PBY010-01-A	3508	4242	0
PHF487-01-A_PHF487-01-A	4463	2001	48
PPZ658-01-A_PPZ658-01-A	1427	3466	216
PXP865-01-A_PXP865-01-A	3874	3185	0
PXT989-01-A_PXT989-01-A	4564	2050	16
QMG767-01-A_QMG767-01-A	1312	539	0
QTR076-01-A_QTR076-01-A	238	698	13
RBF939-01-A_RBF939-01-A	24	0	0
RFZ564-01-A_RFZ564-01-A	13522	314	0
RQS983-01-A_RQS983-01-A	16	5551	0
RSD146-01-A_RSD146-01-A	2334	451	73
RSH935-01-A_RSH935-01-A	615	0	0
SGW547-01-A_SGW547-01-A	833	1789	26
SNF240-01-A_SNF240-01-A	3602	421	1121
SPS095-01-A_SPS095-01-A	8604	263	193
SQJ477-01-A_SQJ477-01-A	162	1071	0
SWK130-01-A_SWK130-01-A	1011	638	175
SYN111-01-A_SYN111-01-A	2199	1311	0
TBV780-01-A_TBV780-01-A	2611	0	150
TDQ071-01-A_TDQ071-01-A	3028	1637	0
TJM985-01-A_TJM985-01-A	5217	1607	1144
TNQ971-01-A_TNQ971-01-A	2582	2284	310
TQP835-01-A_TQP835-01-A	44	25	0
TWB676-01-A_TWB676-01-A	0	272	0
VTL484-01-A_VTL484-01-A	1540	690	806
VVV916-01-A_VVV916-01-A	105	153	22
VZM392-01-A_VZM392-01-A	0	11	0
WGB900-01-A_WGB900-01-A	141	487	397
WGX986-01-A_WGX986-01-A	5711	1350	1115
WHC203-01-A_WHC203-01-A	5088	1782	6464
WJH346-01-A_WJH346-01-A	22	34	69
WMS498-01-A_WMS498-01-A	0	1834	207
WND525-02-A_WND525-02-A	11903	459	168
WWG938-01-A_WWG938-01-A	958	803	21
XDM758-01-A_XDM758-01-A	348	322	0
XGJ172-01-A_XGJ172-01-A	6667	1448	576
XLG735-01-A_XLG735-01-A	570	990	401
XMP793-01-A_XMP793-01-A	2578	39	0
XWG968-01-A_XWG968-01-A	3873	1184	225
XYJ661-01-A_XYJ661-01-A	2674	1377	823
XYS886-01-A_XYS886-01-A	49	2182	549
YGY967-01-A_YGY967-01-A	715	139	1320
ZFS771-01-A_ZFS771-01-A	5164	3497	0
ZNP700-01-A_ZNP700-01-A	17	1199	2876
